country,export_dependency
 Botswana ,0.4461391547728308
 Iraq ,0.44292197147058826
 Angola ,0.4408616282249703
 Mauritius ,0.44053726135162485
 Georgia ,0.4308364124544603
 Montenegro ,0.4304503624803674
 Bosnia and Herzegovina ,0.4266551288649319
 Tunisia ,0.42125578981524364
 Republic of Korea ,0.42044198895027624
 Portugal ,0.41732283464566927
 Norway ,0.4149377593360996
 Mexico ,0.41181102362204725
 D.R. of the Congo ,0.40967503793590904
 Greece ,0.40850026139534884
 Romania ,0.4084507042253521
 Ukraine ,0.407661174075
 Greenland ,0.4063372033053154
 Marshall Islands ,0.40267405118706195
 Grenada ,0.402119049644811
 Libya ,0.39665749169837033
 Mauritania ,0.3945245355948056
 Finland ,0.3939393939393939
 Honduras ,0.3846333504810036
 Iceland ,0.3819755935087667
 Kyrgyzstan ,0.3775711205270246
 Timor-Leste ,0.3692331784293015
 Saint Kitts and Nevis ,0.36803869526978095
 Costa Rica ,0.3613156078493747
 Türkiye ,0.3528693528693529
 Armenia ,0.3502082533410415
 Andorra ,0.34933487561291493
 Paraguay ,0.34905749896780186
 Spain ,0.34895104895104895
 Saudi Arabia ,0.34772182254196643
 South Sudan ,0.34630186935693863
 Montserrat ,0.34404430873990793
 Kazakhstan ,0.3426163560103627
 Liberia ,0.33947128490340783
 Lao People's DR ,0.3370500023189711
 Kosovo ,0.3340917853381477
 Morocco ,0.32900917422377624
 Italy ,0.32654028436018956
 Syrian Arab Republic ,0.3227266182725606
 Namibia ,0.3194131990504749
 Chile ,0.3186119873817035
 Uruguay ,0.3148210055949862
 Mozambique ,0.3138407799839984
 South Africa ,0.3126491646778043
 Eritrea ,0.3089866963736863
 Russian Federation ,0.30842696629213484
 Saint Lucia ,0.3076010250335738
 Canada ,0.307035175879397
 Republic of Moldova ,0.3061994549558286
 Albania ,0.3061618239299375
 Jordan ,0.30539747170666975
 Barbados ,0.3037491225897023
 Jamaica ,0.30092684591991764
 Ghana ,0.2990761971353151
 Israel ,0.2966804979253112
 Mali ,0.29560497240137334
 El Salvador ,0.2954716823145301
 Monaco ,0.2944875182539922
 France ,0.2942567567567568
 Peru ,0.29118050303587445
 Togo ,0.28875277334189725
 Bhutan ,0.28807837924415514
 United Kingdom ,0.2795527156549521
 Bolivia (Plurinational State of) ,0.2782390201785191
 Bahamas ,0.274946915761112
 Burkina Faso ,0.27482972321355886
 Fiji ,0.2730912304354963
 Algeria ,0.268120900404908
 Chad ,0.2651097161689571
 Venezuela (Bolivarian Republic of) ,0.2638767641964286
 Myanmar ,0.26256542641349
 Ecuador ,0.2622934339622642
 Côte d'Ivoire ,0.2600982166028382
 Australia ,0.2589595375722543
 Philippines ,0.2563451776649746
 Zimbabwe ,0.2541144622388162
 Solomon Islands ,0.25367505397372264
 Tajikistan ,0.24722548349812498
 Cabo Verde ,0.24616325470809225
 Micronesia (FS of) ,0.241972566298442
 Uzbekistan ,0.23739155014620902
 Senegal ,0.23161162428296253
 New Zealand ,0.225256754844
 Iran (Islamic Republic of) ,0.2218487394957983
 Dominican Republic ,0.2175270208031735
 Indonesia ,0.21512605042016808
 India ,0.2140625
 Madagascar ,0.21053788291905878
 Benin ,0.20918806173584698
 Dominica ,0.2082615143409045
 Somalia ,0.20083173614051544
 Brazil ,0.20062111801242236
 China ,0.19943502824858758
 New Caledonia ,0.1982504702038344
 Rwanda ,0.19060672512331797
 Japan ,0.18421052631578946
 Argentina ,0.180426397312115
 Guinea-Bissau ,0.17975145098680584
 Guatemala ,0.17789781130891802
 Sri Lanka ,0.17737867748773256
 State of Palestine ,0.17631730683935065
 Cameroon ,0.17377741657615525
 Sierra Leone ,0.1692814315277128
 French Polynesia ,0.16832687846456817
 Colombia ,0.16432855222929937
 St. Vincent and the Grenadines ,0.15734400699311252
 Sao Tome and Principe ,0.15694842867116962
 U.R. of Tanzania: Mainland ,0.14341986698663262
 Zanzibar ,0.14341986676781232
 Tuvalu ,0.13567834218472813
 Uganda ,0.13280478179255878
 Central African Republic ,0.13231574898409626
 Tonga ,0.1252474893092085
 Afghanistan ,0.12073003216168325
 Yemen ,0.11894645394154224
 Samoa ,0.1140928438085917
 United States ,0.10901287553648069
 Nigeria ,0.10736536933642692
 Bangladesh ,0.10660389120722892
 Kenya ,0.10602479237272727
 Egypt ,0.10558822934976526
 Niger ,0.10283910190672683
 Vanuatu ,0.09615698378647829
 Malawi ,0.09559426489568855
 Pakistan ,0.09045020342274053
 Burundi ,0.0858554349231359
 Ethiopia ,0.07592837345649046
 Sudan ,0.0717516777125335
 Haiti ,0.07114722201506624
 Gambia ,0.06651407771693499
 Comoros ,0.06547522023971536
 Palau ,0.06113692561701529
 D.P.R. of Korea ,0.05873859272944328
 Cuba ,0.054825476346456695
 Nepal ,0.05209230429301755
 Nauru ,0.04728392382354068
 Kiribati ,0.047283921599906326
