country,per_capita_gni
 Tuvalu ,7156.0
 Bosnia and Herzegovina ,7082.0
 Equatorial Guinea ,6991.0
 South Africa ,6920.0
 Belarus ,6842.0
 Thailand ,6818.0
 Botswana ,6692.0
 Iran (Islamic Republic of) ,6556.0
 Lebanon ,6521.0
 Peru ,6446.0
 Albania ,6290.0
 North Macedonia ,6285.0
 Colombia ,6003.0
 Belize ,5936.0
 Ecuador ,5873.0
 Paraguay ,5842.0
 Libya ,5839.0
 Kosovo ,5792.0
 Azerbaijan ,5263.0
 Armenia ,5032.0
 Jamaica ,5023.0
 Guatemala ,4791.0
 Namibia ,4760.0
 Georgia ,4700.0
 Tonga ,4699.0
 Ukraine ,4697.0
 Iraq ,4645.0
 Republic of Moldova ,4592.0
 Suriname ,4588.0
 Fiji ,4376.0
 El Salvador ,4294.0
 Indonesia ,4217.0
 State of Palestine ,4176.0
 Jordan ,4038.0
 Micronesia (FS of) ,3934.0
 Mongolia ,3889.0
 Samoa ,3825.0
 Sri Lanka ,3823.0
 Morocco ,3801.0
 Egypt ,3778.0
 Tunisia ,3679.0
 Algeria ,3618.0
 Eswatini ,3586.0
 Philippines ,3584.0
 Viet Nam ,3564.0
 Venezuela (Bolivarian Republic of) ,3528.0
 Bolivia (Plurinational State of) ,3266.0
 Djibouti ,3254.0
 Cabo Verde ,3229.0
 Vanuatu ,3183.0
 Kiribati ,3018.0
 Bhutan ,2809.0
 Papua New Guinea ,2607.0
 Bangladesh ,2579.0
 Honduras ,2546.0
 Sao Tome and Principe ,2512.0
 Côte d'Ivoire ,2462.0
 Lao People's DR ,2414.0
 Ghana ,2348.0
 Solomon Islands ,2323.0
 India ,2239.0
 Mauritania ,2144.0
 Angola ,2070.0
 Kenya ,2051.0
 Uzbekistan ,2023.0
 Nicaragua ,1927.0
 Nigeria ,1868.0
 Timor-Leste ,1842.0
 Congo ,1737.0
 Haiti ,1665.0
 Cameroon ,1636.0
 Comoros ,1620.0
 Senegal ,1602.0
 Pakistan ,1584.0
 Cambodia ,1523.0
 Zimbabwe ,1471.0
 Benin ,1347.0
 Kyrgyzstan ,1294.0
 Lesotho ,1224.0
 Nepal ,1212.0
 Zanzibar ,1190.0
 U.R. of Tanzania: Mainland ,1117.0
 Myanmar ,1095.0
 Zambia ,1062.0
 Tajikistan ,1047.0
 Guinea ,1046.0
 Syrian Arab Republic ,997.0
 Togo ,946.0
 Chad ,923.0
 Uganda ,915.0
 Burkina Faso ,865.0
 Mali ,849.0
 Ethiopia ,821.0
 Rwanda ,795.0
 Guinea-Bissau ,760.0
 Gambia ,753.0
 Sudan ,745.0
 D.P.R. of Korea ,662.0
 Eritrea ,616.0
 Malawi ,602.0
 Niger ,585.0
 D.R. of the Congo ,541.0
 Sierra Leone ,499.0
 Central African Republic ,493.0
 Madagascar ,489.0
 Mozambique ,481.0
 Somalia ,444.0
 Liberia ,413.0
 South Sudan ,386.0
 Afghanistan ,377.0
 Burundi ,312.0
 Yemen ,301.0
