country,gross_domestic_product_
 Monaco ,8596156574.0
 Togo ,8160194303.0
 Guyana ,8044499719.0
 Somalia ,7628276434.0
 Bermuda ,7230610106.0
 Liechtenstein ,6607749611.0
 French Polynesia ,6054675381.0
 Montenegro ,5809147307.0
 Cayman Islands ,5808612073.0
 Maldives ,5405576797.0
 Barbados ,4843800000.0
 Eswatini ,4732011477.0
 South Sudan ,4304069241.0
 Fiji ,4296235427.0
 Sierra Leone ,4249234287.0
 Burundi ,3899747783.0
 Djibouti ,3701419641.0
 Andorra ,3324647529.0
 Greenland ,3272512495.0
 Suriname ,3223849313.0
 Aruba ,3126019399.0
 Curaçao ,2699612444.0
 Central African Republic ,2517718099.0
 Belize ,2491673431.0
 Liberia ,2444888955.0
 Bhutan ,2381373513.0
 Lesotho ,2373416386.0
 Eritrea ,2255389718.0
 Zanzibar ,2080370103.0
 Gambia ,2038414974.0
 Timor-Leste ,2004164748.0
 Cabo Verde ,1936174201.0
 Saint Lucia ,1764902581.0
 San Marino ,1701595072.0
 Solomon Islands ,1632291061.0
 Guinea-Bissau ,1563164283.0
 British Virgin Islands ,1538792087.0
 Antigua and Barbuda ,1421200000.0
 Comoros ,1340468496.0
 Seychelles ,1286662389.0
 Sint Maarten (Dutch part) ,1153842827.0
 Grenada ,1115287981.0
 Vanuatu ,980571481.0
 Turks and Caicos Islands ,943269768.0
 St. Vincent and the Grenadines ,880564698.0
 Saint Kitts and Nevis ,860844444.0
 Samoa ,857261321.0
 Sao Tome and Principe ,554603297.0
 Dominica ,548215595.0
 Tonga ,471831997.0
 Micronesia (FS of) ,404178050.0
 Cook Islands ,327543922.0
 Anguilla ,302714815.0
 Marshall Islands ,256979000.0
 Kiribati ,227454167.0
 Palau ,217804328.0
 Nauru ,155015921.0
 Montserrat ,71552836.0
 Tuvalu ,60170178.0
