,Count,Mean,Standard Deviation,Minimum,Q1,Median,Q3,Maximum,Range,IQR,Coefficient_of_Variation,Skewness,Kurtosis,Missing Values,Missing Percentage
mining_manufacturing_utilities_,220.0,95205642766.64546,461893754080.6538,1324205.0,581800242.5,5966761081.5,42632191009.25,5780000000000.0,5779998675795.0,42050390766.75,4.851537583888616,10.181720239682361,115.3087240011634,0,0.0
other_activities_,220.0,185215038524.92728,989290304309.0696,29391113.0,1877648251.0,8633529234.5,57319642280.5,12900000000000.0,12899970608887.0,55441994029.5,5.3413065817327,10.796357716562612,130.6631558755242,0,0.0
total_value_added,220.0,420766972235.5773,2037160752618.5283,57663323.0,5321264553.75,24879960670.0,174500000000.0,23300000000000.0,23299942336677.0,169178735446.25,4.841541487429225,9.434615309780146,96.09472782937699,0,0.0
transport_storage_and_communication_,220.0,38717749775.51363,198569982828.1443,2554040.0,383445470.75,2050475826.0,16471680174.25,2490000000000.0,2489997445960.0,16088234703.5,5.128655047864544,10.278665362196652,116.80417038835496,0,0.0
wholesale_retail_trade_restaurants_and_hotels_,220.0,57669057338.05909,281213309247.0197,5332543.0,713681687.25,3885970151.0,22616289235.25,3520000000000.0,3519994667457.0,21902607548.0,4.876329217565189,10.188243511648855,115.45515928172875,0,0.0
gross_national_income,220.0,440340480651.8909,2064389997554.373,71572379.0,6036791298.5,26089956375.5,176250000000.0,23600000000000.0,23599928427621.0,170213208701.5,4.688167652672312,9.273318248207117,93.93769345896095,0,0.0
gross_domestic_product_,220.0,440440190606.88635,2049738732028.202,60170178.0,5993293362.5,28016641859.0,184750000000.0,23300000000000.0,23299939829822.0,178756706637.5,4.653841260952706,9.255971138965474,93.36454333724853,0,0.0
export_dependency,218.0,0.42795274814735423,0.34145587301187674,0.0362348665163681,0.214328387605042,0.34104382045688525,0.5378446547330981,2.11680447981541,2.080569613299042,0.32351626712805603,0.7978821832318399,2.268615027913275,7.066063879797446,2,0.91
import_dependency,218.0,0.49807750223900665,0.30073319724586256,0.0481984371417322,0.29914694693211064,0.42200043977066964,0.6026321715691171,1.989159891598916,1.9409614544571838,0.30348522463700645,0.6037879564806226,1.975913457315549,5.7427005579312,2,0.91
trade_openness,218.0,0.9260302503863608,0.6093324825476222,0.1030239134881889,0.5512602875543746,0.7924667567218028,1.0976859596757795,4.024390243902439,3.92136633041425,0.5464256721214049,0.6580049434598868,2.4087019130280574,7.995997132839938,2,0.91
investment_ratio,219.0,0.24201363108742177,0.085344811035665,0.0383910998075489,0.1860542075693409,0.2329479768786127,0.28575975875865006,0.5716103310339959,0.533219231226447,0.09970555118930916,0.35264464506479054,0.5868178616638247,0.9978020949718651,1,0.45
government_share,219.0,0.18918241623500867,0.11105001839907155,0.0404647739953848,0.12398834856204019,0.1682105161279543,0.2164355894961268,0.928815417498017,0.8883506435026322,0.0924472409340866,0.5869996832111581,3.021487072484024,13.342327809477046,1,0.45
household_share,219.0,0.6347784578416075,0.18291583650251603,0.1099396720502252,0.5150837167185092,0.6232394366197183,0.7386738992366941,1.4052737530880095,1.2953340810377842,0.22359018251818497,0.28815696916444183,0.5408133525819504,1.5282229028659309,1,0.45
agriculture_share,217.0,0.1088810748086573,0.11360323690706585,0.0001366182847055,0.0218752756181102,0.0689440993788819,0.1723369033308875,0.6688491813322458,0.6687125630475403,0.1504616277127773,1.0433699070908977,1.6813180583644833,3.7638934484614914,3,1.36
services_share,220.0,0.3421333275716014,0.1218139868936913,0.0659960382536064,0.26057182775031823,0.32388929266832256,0.4264124258457918,0.7583041589326155,0.692308120679009,0.16584059809547358,0.3560424462542257,0.5599845424123404,0.43630189759976146,0,0.0
gdp_per_person,220.0,17956.30122151198,28791.786774423737,141.42730977560487,2191.7495306168767,6498.040576258667,20664.614653050816,234317.0848279998,234175.65751822418,18472.86512243394,1.6034363881092975,3.608165161023918,18.611714797963224,0,0.0
investment_per_person,219.0,4228.701032211125,6786.393697028587,20.107924644162186,485.71178645071507,1498.982950171451,5129.806491930488,58641.81210816115,58621.704183516995,4644.0947054797725,1.6048412137284822,3.846532160037776,22.22622694241334,1,0.45
exports_per_person,218.0,11626.55139739822,27658.080994080963,11.685573258263606,558.1157704378943,2125.038458085204,10290.626968477305,283112.8650552696,283101.17948201136,9732.51119803941,2.378872294003729,5.823826326569107,46.34959068867544,2,0.91
imports_per_person,218.0,10643.188676656962,22891.34184617162,23.970326030522497,816.2199641965342,2714.2945307218615,11378.631324677772,236188.0807919652,236164.1104659347,10562.411360481237,2.150797335424276,5.772140173078207,46.38288551091709,2,0.91
